Molecule ChEMBL ID,SMILES,Standard Type,Standard Relation,Standard Value,Standard Units,Mw,logP,HBd,HBa,Max_ring_size,ro5_ok,ro5_count,Cluster
CHEMBL3093233,Cn1c(=O)c2c(nc3n2CCCN3c2ccc(Cl)cc2)n(C)c1=O,IC50,'>',10000.0,nM,345.09925243199996,1.6288999999999996,0,7,6,True,4,334
CHEMBL3093232,Cn1c(=O)c2c(nc3n2CCCN3c2cccc(Cl)c2)n(C)c1=O,IC50,'>',10000.0,nM,345.09925243199996,1.6288999999999996,0,7,6,True,4,334
CHEMBL3093234,Cn1c(=O)c2c(nc3n2CCCN3c2ccc(Cl)c(Cl)c2)n(C)c1=O,IC50,'>',10000.0,nM,379.06028008,2.2822999999999993,0,7,6,True,4,334
CHEMBL3093240,Cn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(c3ccccc3)CC2)n(C)c1=O,IC50,'>',10000.0,nM,437.217537724,-0.007399999999998963,0,10,6,True,4,335
CHEMBL3093241,Cn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(c3ccc(Cl)cc3)CC2)n(C)c1=O,IC50,'>',10000.0,nM,471.178565372,0.6460000000000004,0,10,6,True,4,335
CHEMBL3093219,CCCn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(c3ccc(Cl)cc3)CC2)n(CCC)c1=O,IC50,'>',10000.0,nM,527.2411656280001,2.3919999999999995,0,10,6,False,3,335
CHEMBL4567537,Fc1cc(/N=C/c2ccc3[nH]ncc3c2)ccc1Cl,IC50,'>',10000.0,nM,273.046903188,4.106000000000001,1,3,6,True,4,336
CHEMBL4449231,Fc1ccc(/N=C/c2ccc3[nH]ncc3c2)cc1Cl,IC50,'>',10000.0,nM,273.046903188,4.106000000000002,1,3,6,True,4,336
CHEMBL3319272,Clc1ccc(/N=C/c2ccc3[nH]ncc3c2)cc1Cl,IC50,'>',10000.0,nM,289.01735264800004,4.620300000000001,1,3,6,True,4,336
CHEMBL4645049,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1C[C@H]1c2c(O)ccc3[nH]cc(c23)CCN1C,IC50,'>',10000.0,nM,560.236995352,0.44069999999999987,6,12,7,False,1,337
CHEMBL4640837,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1C[C@@H]1c2c(O)ccc3[nH]cc(c23)CCN1C,IC50,'>',10000.0,nM,560.236995352,0.44069999999999987,6,12,7,False,1,337
CHEMBL4637405,C=C[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/c3ccc(OC)c(OC)c3)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1C[C@H]1c2c(O)ccc3[nH]cc(c23)CCN1C,IC50,'>',10000.0,nM,750.2999895319999,2.7222,5,15,7,False,2,337
CHEMBL3093214,Cn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(Cc3ccccc3)CC2)n(C)c1=O,IC50,'>',10000.0,nM,451.233187788,-0.01179999999999759,0,10,6,True,4,338
CHEMBL3093216,Cn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)n(C)c1=O,IC50,'>',10000.0,nM,519.220572416,1.0070000000000003,0,10,6,False,3,338
CHEMBL3652417,c1cn(-c2ccc3nc(-c4ccc5c(c4)OCO5)ncc3c2)cn1,IC50,'=',10000.0,nM,316.096025624,3.2112000000000007,0,6,6,True,4,339
CHEMBL3652419,c1cn(-c2ccc3nc(-c4ccc5c(c4)OCCO5)ncc3c2)cn1,IC50,'=',10000.0,nM,330.111675688,3.253700000000001,0,6,6,True,4,339
CHEMBL3652416,Cc1cn(-c2ccc3nc(-c4ccc5c(c4)OCO5)ncc3c2)cn1,IC50,'=',10000.0,nM,330.111675688,3.5196200000000015,0,6,6,True,4,339
CHEMBL4096153,O=C1CCc2ccc(OCCCN3CCC(N4CCCC4)CC3)cc2N1,IC50,'=',9600.0,nM,357.24162723200004,2.900400000000001,1,5,6,True,4,340
CHEMBL2151540,C/C(=N/Nc1nc(-c2ccc(C#N)cc2)cs1)c1nccs1,IC50,'=',2850.0,nM,325.04558735200004,3.974380000000002,1,5,6,True,4,341
CHEMBL2151556,C/C(=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)c1nccs1,IC50,'=',8970.0,nM,345.035416592,4.010900000000001,1,7,6,True,4,341
CHEMBL2151663,C/C(=N/Nc1nc(-c2ccc(F)cc2)cs1)c1nccs1,IC50,'=',7550.0,nM,318.04091657200007,4.241800000000002,1,4,6,True,4,341
CHEMBL3218166,C(=N/Nc1nc(-c2ccc3ccccc3c2)cs1)\c1cccnc1,IC50,'=',2570.0,nM,330.093917448,4.804300000000002,1,4,6,True,4,342
CHEMBL3218167,C(=N/Nc1nc(-c2ccc3ccccc3c2)cs1)\c1ccncc1,IC50,'=',8670.0,nM,330.093917448,4.804300000000002,1,4,6,True,4,342
CHEMBL3218162,C(=N/Nc1nc(-c2ccc3ccccc3c2)cs1)\c1cccs1,IC50,'=',2710.0,nM,335.055089416,5.470800000000002,1,3,6,False,3,342
CHEMBL4173417,C#CCNC1CCc2c(OCCOc3cccc(NC(C)=O)c3)cccc21,IC50,'=',8300.0,nM,364.17869262799996,3.3129000000000017,2,5,6,True,4,343
CHEMBL4165494,C#CCNC1CCc2c(OCCOc3cccc(NC(=O)CCl)c3)cccc21,IC50,'>',60000.0,nM,398.139720276,3.5318000000000023,2,5,6,True,4,343
CHEMBL2158246,O=C1NC(=O)c2cc(Sc3ccccc3)ccc21,IC50,'=',8030.0,nM,255.035399528,2.721400000000001,1,3,6,True,4,344
CHEMBL2158247,O=C1NC(=O)c2cc(Sc3ccc(Cl)cc3)ccc21,IC50,'=',1680.0,nM,288.996427176,3.3748000000000014,1,3,6,True,4,344
CHEMBL2158248,O=C1NC(=O)c2cc(Sc3ccc(Br)cc3)ccc21,IC50,'=',1010.0,nM,332.945911596,3.483900000000002,1,3,6,True,4,344
CHEMBL1173331,CN1C(=N)NC(=O)/C1=C\c1c[nH]c2ccc(Br)cc12,IC50,'=',8000.0,nM,318.011623072,2.26767,3,5,6,True,4,345
CHEMBL2058416,C/N=C1\NC(=O)/C(=C\c2c[nH]c3ccc(Br)cc23)N1C,IC50,'=',263.0,nM,332.027273136,2.3186999999999998,2,5,6,True,4,345
CHEMBL1170237,CN1C(=N)N(C)/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,IC50,'=',236.0,nM,332.027273136,2.60987,2,5,6,True,4,345
CHEMBL4450588,C#CCN1CCC(/C=C\c2cccc(F)c2)CC1,IC50,'=',68.4,nM,243.142327796,3.1841000000000017,0,1,6,True,4,346
CHEMBL4457115,C#CCN1CCC(/C=C/c2cccc(F)c2)CC1,IC50,'=',6906.8,nM,243.142327796,3.1841000000000017,0,1,6,True,4,346
CHEMBL4462585,C#CCN1CCC(/C=C\c2cccc(C(F)(F)F)c2)CC1,IC50,'=',858.0,nM,293.13913423599996,4.063800000000003,0,1,6,True,4,346
CHEMBL2058409,CN1C(=N)NC(=O)/C1=C\c1c[nH]c2c(Br)cccc12,IC50,'=',6107.0,nM,318.011623072,2.26767,3,5,6,True,4,347
CHEMBL2058418,C/N=C1\NC(=O)/C(=C\c2c[nH]c3c(Br)cccc23)N1C,IC50,'=',1900.0,nM,332.027273136,2.3186999999999998,2,5,6,True,4,347
CHEMBL2058420,CN1C(=N)N(C)/C(=C/c2c[nH]c3c(Br)cccc23)C1=O,IC50,'=',52.0,nM,332.027273136,2.60987,2,5,6,True,4,347
CHEMBL2058408,CN1C(=N)NC(=O)/C1=C\c1c[nH]c2cc(Br)ccc12,IC50,'=',6075.0,nM,318.011623072,2.26767,3,5,6,True,4,348
CHEMBL2058417,C/N=C1\NC(=O)/C(=C\c2c[nH]c3cc(Br)ccc23)N1C,IC50,'=',29.0,nM,332.027273136,2.3186999999999998,2,5,6,True,4,348
